Completion Code (1=completed PhD; 2=left without PhD),Time to Degree,Time to Leaving,Discipline,Gender Code (1=F; 2=M),GRE V,GRE Q
1,5.00,,Non-Engineering,2,460,530
1,4.00,,Non-Engineering,2,460,700
1,6.00,,Non-Engineering,2,480,570
1,7.00,,Non-Engineering,2,500,430
1,6.00,,Non-Engineering,2,520,550
1,4.00,,Non-Engineering,2,520,710
1,5.00,,Non-Engineering,2,540,700
1,8.00,,Non-Engineering,2,540,700
1,5.00,,Non-Engineering,2,540,710
1,5.00,,Non-Engineering,2,550,590
1,10.00,,Non-Engineering,2,560,430
1,6.00,,Non-Engineering,2,560,590
1,5.00,,Non-Engineering,2,600,650
1,6.00,,Non-Engineering,2,660,460
1,3.00,,Non-Engineering,1,360,600
1,7.00,,Non-Engineering,1,460,690
1,8.00,,Non-Engineering,1,480,630
